FROM,TO,Travel Time Savings Positive,Travel Time Savings Negative
CBD,CBD,0,-50782.57375
CBD,Clackamas.Co,46574.61277,0
CBD,Clark.Co,0,-9246.364012
CBD,East.Multnomah.Co,25067.54078,0
CBD,Northwest,0,-177372.8141
CBD,Portland.Eastside,0,-417685.6604
CBD,Southwest,520936.2696,0
CBD,West.Wash.Co,0,-8410.005857
Clackamas.Co,CBD,1161188.766,0
Clackamas.Co,Clackamas.Co,2074340.461,0
Clackamas.Co,Clark.Co,0,-138022.8291
Clackamas.Co,East.Multnomah.Co,838301.1982,0
Clackamas.Co,Northwest,356466.5791,0
Clackamas.Co,Portland.Eastside,0,-786209.8541
Clackamas.Co,Southwest,600307.227,0
Clackamas.Co,West.Wash.Co,18287.77528,0
Clark.Co,CBD,0,-159072.6475
Clark.Co,Clackamas.Co,0,-152388.5453
Clark.Co,Clark.Co,41553.45135,0
Clark.Co,East.Multnomah.Co,26395.74614,0
Clark.Co,Northwest,0,-98456.7598
Clark.Co,Portland.Eastside,0,-29610.96017
Clark.Co,Southwest,17355.35296,0
Clark.Co,West.Wash.Co,0,-50860.82331
East.Multnomah.Co,CBD,758086.1631,0
East.Multnomah.Co,Clackamas.Co,1283404.587,0
East.Multnomah.Co,Clark.Co,29211.67053,0
East.Multnomah.Co,East.Multnomah.Co,360997.596,0
East.Multnomah.Co,Northwest,279610.7839,0
East.Multnomah.Co,Portland.Eastside,173494.283,0
East.Multnomah.Co,Southwest,695209.6811,0
East.Multnomah.Co,West.Wash.Co,0,-52080.50054
Northwest,CBD,448023.1293,0
Northwest,Clackamas.Co,478634.8587,0
Northwest,Clark.Co,6485.783501,0
Northwest,East.Multnomah.Co,201226.4842,0
Northwest,Northwest,275953.3502,0
Northwest,Portland.Eastside,648923.0005,0
Northwest,Southwest,1014774.103,0
Northwest,West.Wash.Co,42580.34585,0
Portland.Eastside,CBD,279404.7788,0
Portland.Eastside,Clackamas.Co,0,-310737.1064
Portland.Eastside,Clark.Co,0,-9910.82427
Portland.Eastside,East.Multnomah.Co,0,-13887.32399
Portland.Eastside,Northwest,0,-178335.8886
Portland.Eastside,Portland.Eastside,0,-3908520.591
Portland.Eastside,Southwest,1714389.007,0
Portland.Eastside,West.Wash.Co,0,-130203.392
Southwest,CBD,1378541.519,0
Southwest,Clackamas.Co,574425.1339,0
Southwest,Clark.Co,17889.15117,0
Southwest,East.Multnomah.Co,237597.7252,0
Southwest,Northwest,479308.1122,0
Southwest,Portland.Eastside,1151341.125,0
Southwest,Southwest,377390.3087,0
Southwest,West.Wash.Co,15687.75466,0
West.Wash.Co,CBD,231596.1557,0
West.Wash.Co,Clackamas.Co,231542.3806,0
West.Wash.Co,Clark.Co,66921.67124,0
West.Wash.Co,East.Multnomah.Co,142653.9993,0
West.Wash.Co,Northwest,218479.3342,0
West.Wash.Co,Portland.Eastside,389817.3542,0
West.Wash.Co,Southwest,0,-717.1377797
West.Wash.Co,West.Wash.Co,841147.6921,0
